transaction_id,cardholder_id,amount,merchant_category,distance_from_home,velocity_1h,velocity_24h,is_international,is_fraud
TXN_000000,USER_0861,21.32371325518922,grocery,9.448461767883156,1,3,0,0
TXN_000001,USER_3773,25.85869685072837,retail,6.256541921445832,0,0,0,0
TXN_000002,USER_3093,89.31753490168198,retail,28.21811609343573,0,0,0,0
TXN_000003,USER_0467,44.32316858582941,electronics,6.497030465428097,0,4,0,0
TXN_000004,USER_4427,58.98632477399343,grocery,22.411420564652094,0,2,0,0
TXN_000005,USER_3445,134.16984174964455,grocery,4.014903485745629,0,3,0,0
TXN_000006,USER_3172,84.90747990788445,digital_goods,7.237719283164205,0,3,0,0
TXN_000007,USER_2920,51.54992879293625,grocery,0.8758327564741872,1,5,0,0
TXN_000008,USER_0131,236.02621541618467,electronics,8.027357309251952,0,4,0,0
TXN_000009,USER_1686,23.108098209168283,electronics,12.013424736094851,0,1,1,0
TXN_000010,USER_0770,30.580369022763996,retail,0.2759600049977875,0,6,0,0
TXN_000011,USER_2392,186.79838442553358,electronics,6.450216338362111,0,2,0,0
TXN_000012,USER_2434,148.91420953401854,electronics,11.0205941331359,0,1,0,0
TXN_000013,USER_1185,15.449603655186127,digital_goods,27.384815097091774,0,0,0,0
TXN_000014,USER_4556,204.3878568941997,electronics,22.652359730298237,1,4,0,0
TXN_000015,USER_3386,5.766558431366016,travel,5.3605330229404835,1,1,1,0
TXN_000016,USER_4118,134.62542606220484,travel,12.976327203387688,1,5,0,0
TXN_000017,USER_4844,29.513160614723642,retail,12.803148845945483,0,2,1,0
TXN_000018,USER_2905,20.67982821148062,grocery,16.951167906589752,0,1,0,0
TXN_000019,USER_0475,49.66202162651042,grocery,15.85006099587645,0,3,0,0
TXN_000020,USER_1083,175.53735450799198,digital_goods,6.309716365120435,0,3,1,0
TXN_000021,USER_2559,120.59766113561733,electronics,5.721919509979023,0,1,1,0
TXN_000022,USER_2048,261.00018316974405,electronics,5.759969315083175,1,2,1,0
TXN_000023,USER_2748,63.40268948141134,electronics,6.7729392004414155,0,3,0,0
TXN_000024,USER_0976,58.586996631507816,electronics,18.968029347844666,1,0,0,0
TXN_000025,USER_1807,5.983823980014894,electronics,25.160778138821968,0,1,0,0
TXN_000026,USER_0190,19.93941260933387,travel,8.901269830423834,0,3,0,0
TXN_000027,USER_2735,56.62992966307801,digital_goods,15.712819461731595,0,3,1,0
TXN_000028,USER_3006,109.74617178938479,retail,9.46731608244834,1,3,0,0
TXN_000029,USER_4659,134.7022056095111,retail,18.162941935167446,0,1,1,0
TXN_000030,USER_1900,29.978822983011753,travel,8.452593238004413,0,3,1,0
TXN_000031,USER_1268,98.4787780589755,electronics,8.897671179062872,0,5,0,0
TXN_000032,USER_1529,137.250776865823,electronics,7.744093036062299,1,3,0,0
TXN_000033,USER_3203,40.2268055839886,grocery,5.34717094213568,0,2,1,0
TXN_000034,USER_3557,94.19507493757602,retail,10.170010985662792,0,3,1,0
TXN_000035,USER_3891,48.123134857904276,grocery,4.603648623062487,1,2,0,0
TXN_000036,USER_0647,323.312147025632,retail,17.779546153877593,0,6,0,0
TXN_000037,USER_2889,5.501740439874586,grocery,24.68796254462588,1,2,0,0
TXN_000038,USER_2436,45.126835074817315,electronics,29.479786120730836,0,1,0,0
TXN_000039,USER_0601,27.960493422222253,electronics,13.186535093796651,1,2,0,0
TXN_000040,USER_2364,147.15239101566328,electronics,1.998848807211087,0,2,0,0
TXN_000041,USER_2062,30.383776863981666,digital_goods,17.696443558228985,0,2,0,0
TXN_000042,USER_0242,63.869273985510134,grocery,15.651458842220684,0,3,0,0
TXN_000043,USER_2042,106.10828934182233,digital_goods,18.197546935794,0,3,1,0
TXN_000044,USER_2825,56.57172611233732,digital_goods,27.00616195780048,1,4,0,0
TXN_000045,USER_2613,44.623644691211645,grocery,6.101870780045291,0,4,0,0
TXN_000046,USER_1364,8.258627167704011,electronics,14.738417111393318,1,1,0,0
TXN_000047,USER_1479,6.739940094346382,travel,11.8133700067966,0,1,1,0
TXN_000048,USER_2557,241.5557213336358,retail,6.194479946743167,2,1,0,1
TXN_000049,USER_0776,82.30275240811095,grocery,20.263642249733547,1,1,0,0
TXN_000050,USER_4015,135.83154753348518,electronics,11.369268918907707,1,0,1,0
TXN_000051,USER_0035,54.107739928034576,digital_goods,6.936007560641939,2,0,1,1
TXN_000052,USER_3153,27.743289472109325,electronics,3.4537064483457174,0,3,0,0
TXN_000053,USER_1956,31.16765445920704,grocery,16.786708243720863,0,2,0,0
TXN_000054,USER_1586,8.334929560249495,grocery,10.73553413325717,1,3,0,0
TXN_000055,USER_3944,122.36478830987207,retail,33.214604475936916,0,3,1,0
TXN_000056,USER_3074,70.34356496471842,retail,14.181432323304715,0,4,0,0
TXN_000057,USER_1022,54.160215196730825,grocery,27.07533521380605,1,1,1,0
TXN_000058,USER_3462,148.44140604694448,retail,29.666978147549834,0,5,0,0
TXN_000059,USER_2614,49.138098103418905,digital_goods,37.25672507240218,0,0,0,0
TXN_000060,USER_3844,226.63768920255583,electronics,6.194781525265874,1,0,0,0
TXN_000061,USER_1501,5.999368477433619,travel,10.540492217171911,2,4,0,0
TXN_000062,USER_4799,318.0838060589964,electronics,16.615518531976434,1,2,0,0
TXN_000063,USER_0162,131.91400593410012,electronics,26.654985591321832,0,5,0,0
TXN_000064,USER_4298,37.880802982699514,grocery,28.048504005132294,0,5,1,0
TXN_000065,USER_1982,72.85747207520703,travel,16.678142533437654,0,2,0,0
TXN_000066,USER_0996,154.96692024379274,retail,13.596828930505708,1,4,0,0
TXN_000067,USER_4912,54.275371776576776,retail,15.207870782328431,0,6,0,0
TXN_000068,USER_3343,8.929914897007768,electronics,4.950195305476218,1,3,0,0
TXN_000069,USER_4552,180.51847083623957,grocery,10.72365079880621,1,1,0,0
TXN_000070,USER_3799,59.582919749222505,travel,5.279354945832975,1,3,0,0
TXN_000071,USER_1276,64.08526286133474,grocery,35.43079770588261,1,2,0,0
TXN_000072,USER_1017,6.0359855277832555,travel,9.71232868593341,0,4,0,0
TXN_000073,USER_0338,12.9075447050663,travel,27.485352623077034,0,2,0,0
TXN_000074,USER_0879,117.67768711515005,retail,16.39416491356233,0,2,0,0
TXN_000075,USER_1077,47.812992761798895,electronics,16.073487307288048,0,3,0,0
TXN_000076,USER_4888,473.31485249749375,retail,4.471173808011677,0,2,0,0
TXN_000077,USER_3994,94.22508965104855,grocery,3.1060203911852167,1,3,0,0
TXN_000078,USER_4860,229.08401077486755,retail,33.305492566153475,0,2,0,1
TXN_000079,USER_0380,29.570348677126525,electronics,3.5146108984307762,0,4,0,0
TXN_000080,USER_0493,19.532834884637968,digital_goods,8.917727486496702,0,4,0,0
TXN_000081,USER_2063,40.44124618529192,retail,30.917467303340402,0,4,0,0
TXN_000082,USER_3885,28.06774439496422,grocery,23.298789339773183,0,2,0,0
TXN_000083,USER_0065,76.27069577144441,electronics,13.184621647717634,0,1,0,0
TXN_000084,USER_2569,107.32295525387781,grocery,5.017031427716167,0,2,0,0
TXN_000085,USER_2028,43.57457025867691,travel,22.105682110882483,2,1,0,0
TXN_000086,USER_2696,12.060611937657338,electronics,12.581382045055436,0,1,0,0
TXN_000087,USER_1496,7.001364221839646,travel,8.480867676007886,0,4,0,0
TXN_000088,USER_0392,23.445197740726353,electronics,3.154458664113955,0,1,1,0
TXN_000089,USER_4515,103.89415588783385,digital_goods,4.240074102612576,0,2,0,0
TXN_000090,USER_4475,23.784021199424497,digital_goods,3.1797163550438774,0,1,0,0
TXN_000091,USER_3562,186.41223216497002,electronics,27.447955942744038,0,2,1,0
TXN_000092,USER_2279,84.08966937146043,travel,18.78257863794099,0,2,1,0
